user_id,sameDiff,task1v2,task2v3,task3v4,task4v5,task5v6,task8v9,task9v10,task10v11
194,0.5,NA,0.55,0.55,NA,NA,NA,NA,NA
195,0.5,0.6,NA,0.5,NA,NA,NA,NA,NA
197,0.5625,NA,NA,0.45,NA,NA,NA,NA,0.45
198,0.625,NA,NA,0.7,NA,NA,NA,NA,0.55
199,0.75,NA,NA,0.5,NA,NA,NA,0.55,NA
200,0.5625,NA,NA,0.5,0.55,NA,NA,NA,NA
201,0.5,NA,NA,0.6,0.3,NA,NA,NA,NA
203,0.4375,NA,0.45,0.45,NA,NA,NA,NA,NA
204,0.6875,NA,NA,0.7,0.65,NA,NA,NA,NA
205,0.75,NA,NA,0.8,0.95,NA,NA,NA,NA
206,0.9375,NA,NA,1,NA,NA,NA,NA,0.75
211,0.9375,NA,NA,1,1,NA,NA,NA,NA
214,0.625,NA,0.5,0.7,NA,NA,NA,NA,NA
217,0.875,NA,NA,0.75,NA,NA,0.65,NA,NA
218,0.375,NA,NA,0.7,NA,NA,0.45,NA,NA
219,0.75,NA,NA,0.7,0.8,NA,NA,NA,NA
221,0.625,NA,NA,0.65,NA,0.5,NA,NA,NA
223,0.8125,NA,NA,1,NA,NA,0.95,NA,NA
224,0.5625,NA,NA,0.8,NA,NA,0.55,NA,NA
225,0.25,NA,NA,0.65,NA,NA,0.55,NA,NA
227,0.625,0.25,NA,0.5,NA,NA,NA,NA,NA
228,0.6875,NA,NA,0.6,NA,NA,NA,NA,0.55
229,0.4375,NA,NA,0.35,NA,NA,NA,NA,0.5
233,0.375,NA,0.55,0.5,NA,NA,NA,NA,NA
235,0.875,NA,NA,0.75,NA,NA,NA,NA,0.65
239,0.75,NA,NA,0.65,NA,0.65,NA,NA,NA
241,0.5625,NA,NA,0.35,NA,0.7,NA,NA,NA
242,0.5625,NA,NA,0.45,0.6,NA,NA,NA,NA
243,0.375,NA,0.65,0.5,NA,NA,NA,NA,NA
244,0.4375,NA,NA,0.5,NA,NA,NA,NA,0.5
245,0.625,0.55,NA,0.45,NA,NA,NA,NA,NA
246,0.6875,NA,NA,0.55,NA,NA,0.6,NA,NA
247,0.625,0.5,NA,0.7,NA,NA,NA,NA,NA
248,0.375,NA,NA,0.6,NA,NA,NA,0.65,NA
249,0.375,NA,NA,0.4,NA,NA,NA,NA,0.65
251,0.6875,NA,0.55,0.9,NA,NA,NA,NA,NA
252,0.5,NA,NA,0.65,0.5,NA,NA,NA,NA
254,0.5625,NA,NA,0.4,NA,NA,0.3,NA,NA
255,0.5,0.65,NA,0.95,NA,NA,NA,NA,NA
256,0.4375,NA,NA,0.3,NA,NA,NA,NA,0.55
257,0.375,NA,0.55,0.55,NA,NA,NA,NA,NA
258,0.75,0.55,NA,0.65,NA,NA,NA,NA,NA
259,1,NA,NA,1,NA,NA,1,NA,NA
260,0.5,NA,NA,0.35,NA,0.35,NA,NA,NA
261,0.625,NA,NA,0.5,NA,0.4,NA,NA,NA
262,0.75,NA,NA,0.9,NA,0.8,NA,NA,NA
263,0.625,NA,NA,0.9,NA,NA,NA,NA,0.55
264,0.5625,0.85,NA,0.55,NA,NA,NA,NA,NA
265,0.3125,0.5,NA,0.3,NA,NA,NA,NA,NA
266,0.8125,NA,NA,0.35,0.6,NA,NA,NA,NA
268,0.5,NA,NA,0.55,NA,NA,NA,NA,0.7
269,0.375,NA,NA,0.25,NA,NA,0.6,NA,NA
271,0.5625,NA,NA,0.5,NA,NA,NA,0.7,NA
272,0.375,NA,NA,0.55,NA,NA,NA,NA,0.65
273,0.3125,NA,NA,0.5,NA,0.55,NA,NA,NA
274,0.375,0.55,NA,0.55,NA,NA,NA,NA,NA
275,0.375,NA,NA,0.7,NA,NA,0.45,NA,NA
276,0.4375,NA,NA,0.65,0.35,NA,NA,NA,NA
277,0.3125,NA,NA,0.4,NA,0.6,NA,NA,NA
278,0.6875,NA,NA,0.4,NA,NA,0.7,NA,NA
280,0.5625,NA,0.4,0.7,NA,NA,NA,NA,NA
281,0.5625,NA,NA,0.35,NA,NA,NA,0.75,NA
283,0.5,NA,NA,0.5,0.55,NA,NA,NA,NA
285,0.625,NA,NA,0.4,NA,NA,0.65,NA,NA
286,0.75,NA,NA,0.9,NA,NA,NA,0.9,NA
288,0.8125,NA,NA,1,0.8,NA,NA,NA,NA
290,0.25,NA,NA,0.35,NA,NA,NA,NA,0.5
293,0.75,NA,0.35,0.6,NA,NA,NA,NA,NA
298,0.6875,NA,NA,0.65,NA,NA,NA,0.5,NA
299,0.8125,0.45,NA,0.5,NA,NA,NA,NA,NA
300,0.6875,NA,NA,0.5,NA,NA,0.55,NA,NA
301,0.8125,NA,NA,0.4,0.45,NA,NA,NA,NA
302,0.625,NA,NA,0.6,NA,NA,NA,NA,0.45
303,0.5,NA,NA,0.6,NA,NA,0.6,NA,NA
304,0.4375,NA,NA,0.25,0.5,NA,NA,NA,NA
305,0.5,0.5,NA,0.45,NA,NA,NA,NA,NA
308,0.5,NA,NA,0.6,NA,NA,NA,0.6,NA
310,0.5625,0.3,NA,0.55,NA,NA,NA,NA,NA
311,0.3125,NA,0.55,0.55,NA,NA,NA,NA,NA
312,0.5625,NA,NA,0.65,NA,NA,NA,NA,0.5
313,0.5,NA,NA,0.45,0.65,NA,NA,NA,NA
314,0.3125,NA,NA,0.4,0.75,NA,NA,NA,NA
315,0.6875,NA,NA,0.55,NA,NA,0.5,NA,NA
316,0.5625,NA,NA,0.4,NA,NA,NA,0.4,NA
317,0.4375,NA,NA,0.4,0.5,NA,NA,NA,NA
319,0.5,0.7,NA,0.55,NA,NA,NA,NA,NA
321,0.625,NA,0.3,0.7,NA,NA,NA,NA,NA
322,0.25,NA,NA,0.4,0.6,NA,NA,NA,NA
323,0.6875,NA,NA,0.55,NA,NA,0.7,NA,NA
324,0.5,NA,NA,0.6,NA,NA,0.6,NA,NA
325,0.5625,NA,NA,0.85,NA,NA,0.6,NA,NA
326,0.5625,NA,NA,0.6,0.55,NA,NA,NA,NA
329,0.625,NA,NA,0.35,NA,NA,NA,0.5,NA
331,0.5,NA,NA,0.8,NA,NA,NA,0.85,NA
332,0.375,NA,NA,0.35,NA,NA,0.6,NA,NA
335,0.25,NA,NA,0.6,NA,NA,NA,0.5,NA
336,0.6875,NA,0.65,0.4,NA,NA,NA,NA,NA
337,0.5625,NA,NA,0.6,NA,0.45,NA,NA,NA
338,0.6875,NA,NA,0.8,NA,NA,1,NA,NA
340,0.75,NA,NA,1,NA,NA,1,NA,NA
351,0.4375,NA,NA,0.65,0.6,NA,NA,NA,NA
354,0.625,NA,NA,0.65,NA,NA,NA,NA,0.55
356,0.875,NA,NA,1,1,NA,NA,NA,NA
364,0.4375,NA,NA,0.5,NA,NA,NA,0.5,NA
372,0.5625,NA,NA,0.5,NA,NA,0.5,NA,NA
373,0.4375,NA,NA,0.55,NA,NA,NA,NA,0.6
382,0.3125,NA,NA,0.7,NA,NA,NA,0.45,NA
394,0.75,NA,NA,0.55,NA,0.75,NA,NA,NA
395,0.75,NA,NA,0.5,NA,NA,NA,NA,0.5
397,0.5625,NA,0.5,0.45,NA,NA,NA,NA,NA
402,0.625,NA,NA,0.75,NA,NA,NA,NA,0.45
409,0.375,NA,NA,0.6,0.5,NA,NA,NA,NA
410,0.6875,NA,0.65,0.85,NA,NA,NA,NA,NA
412,0.4375,NA,NA,0.4,NA,NA,0.45,NA,NA
414,0.625,NA,NA,0.5,0.6,NA,NA,NA,NA
418,0.9375,0.45,NA,1,NA,NA,NA,NA,NA
420,0.5625,NA,NA,0.6,0.8,NA,NA,NA,NA
424,0.9375,NA,NA,0.9,NA,NA,NA,NA,0.85
426,0.6875,NA,0.45,0.5,NA,NA,NA,NA,NA
427,0.5625,NA,NA,0.4,NA,NA,NA,NA,0.6
428,0.5625,NA,NA,0.65,NA,NA,NA,NA,0.5
431,0.4375,0.8,NA,0.45,NA,NA,NA,NA,NA
432,0.75,NA,NA,0.6,NA,NA,0.8,NA,NA
433,0.8125,NA,NA,1,NA,NA,NA,NA,1
434,0.8125,NA,NA,0.8,NA,NA,0.95,NA,NA
440,0.875,NA,NA,0.9,0.9,NA,NA,NA,NA
445,0.4375,NA,0.3,0.55,NA,NA,NA,NA,NA
449,0.5625,NA,NA,0.65,NA,NA,NA,NA,0.55
452,0.5,NA,NA,0.45,NA,NA,NA,0.5,NA
453,0.75,NA,0.9,0.75,NA,NA,NA,NA,NA
454,0.9375,NA,NA,1,NA,NA,NA,1,NA
455,0.5,NA,0.4,0.5,NA,NA,NA,NA,NA
459,0.6875,NA,NA,0.75,NA,NA,NA,NA,0.55
461,0.875,NA,NA,0.45,NA,NA,0.3,NA,NA
471,0.6875,NA,NA,0.8,NA,NA,NA,NA,0.5
473,0.5,NA,NA,0.5,NA,NA,0.65,NA,NA
477,0.6875,NA,NA,1,NA,0.4,NA,NA,NA
478,0.6875,NA,0.7,1,NA,NA,NA,NA,NA
481,1,NA,NA,0.95,NA,NA,NA,1,NA
483,0.6875,NA,NA,0.75,NA,NA,NA,0.7,NA
486,0.625,NA,NA,0.45,NA,0.65,NA,NA,NA
488,0.5,NA,NA,0.6,NA,NA,NA,NA,0.5
490,0.5625,NA,NA,0.55,0.4,NA,NA,NA,NA
495,0.5,NA,NA,0.6,NA,NA,NA,0.6,NA
497,0.3125,NA,NA,0.4,NA,NA,NA,0.6,NA
499,0.5,NA,NA,0.45,NA,NA,NA,NA,0.55
501,0.875,0.95,NA,0.95,NA,NA,NA,NA,NA
503,0.6875,NA,NA,0.45,NA,NA,NA,0.4,NA
507,0.5,NA,NA,0.4,NA,NA,NA,0.55,NA
520,0.8125,NA,NA,1,NA,NA,NA,NA,0.9
521,0.75,NA,NA,0.75,NA,NA,0.95,NA,NA
524,0.75,NA,NA,0.75,NA,NA,NA,NA,0.3
526,0.25,NA,NA,0.5,0.6,NA,NA,NA,NA
541,0.4375,0.5,NA,0.75,NA,NA,NA,NA,NA
542,0.625,NA,NA,0.55,NA,NA,NA,0.45,NA
544,0.625,NA,NA,0.8,NA,NA,NA,0.6,NA
546,0.5625,NA,NA,0.4,0.5,NA,NA,NA,NA
548,0.6875,NA,0.5,0.65,NA,NA,NA,NA,NA
552,0.5625,NA,0.35,0.5,NA,NA,NA,NA,NA
555,0.75,NA,NA,0.6,NA,NA,NA,NA,0.45
558,0.5,0.55,NA,0.45,NA,NA,NA,NA,NA
559,0.375,0.35,NA,0.45,NA,NA,NA,NA,NA
560,0.3125,NA,NA,0.55,NA,NA,0.65,NA,NA
563,0.8125,NA,NA,0.6,0.7,NA,NA,NA,NA
565,0.6875,NA,0.65,0.7,NA,NA,NA,NA,NA
566,0.6875,NA,NA,0.75,0.9,NA,NA,NA,NA
570,0.8125,NA,0.9,0.95,NA,NA,NA,NA,NA
571,0.4375,NA,NA,0.65,NA,0.45,NA,NA,NA
572,0.625,0.7,NA,0.55,NA,NA,NA,NA,NA
573,0.5625,0.75,NA,0.6,NA,NA,NA,NA,NA
574,0.5,NA,NA,0.45,NA,0.6,NA,NA,NA
577,0.6875,NA,NA,0.45,NA,NA,NA,NA,0.7
578,0.8125,NA,0.85,0.95,NA,NA,NA,NA,NA
579,0.3125,NA,NA,0.4,NA,0.5,NA,NA,NA
582,0.8125,NA,1,0.85,NA,NA,NA,NA,NA
586,0.375,NA,NA,0.65,0.4,NA,NA,NA,NA
590,0.5,NA,0.55,0.7,NA,NA,NA,NA,NA
592,0.5625,NA,NA,0.45,NA,NA,NA,0.4,NA
593,0.625,NA,0.6,1,NA,NA,NA,NA,NA
596,0.875,NA,NA,1,0.95,NA,NA,NA,NA
597,0.625,NA,NA,0.7,NA,NA,0.65,NA,NA
599,0.625,NA,NA,0.55,NA,NA,0.6,NA,NA
604,0.875,NA,NA,0.95,NA,0.95,NA,NA,NA
607,0.4375,NA,NA,0.45,NA,NA,0.45,NA,NA
611,0.5,NA,0.75,0.7,NA,NA,NA,NA,NA
614,0.625,NA,0.8,0.95,NA,NA,NA,NA,NA
616,0.5625,NA,NA,0.6,NA,NA,0.7,NA,NA
621,0.5,NA,NA,0.5,NA,NA,NA,NA,0.6
628,0.625,NA,0.95,0.8,NA,NA,NA,NA,NA
631,0.5,NA,NA,0.5,NA,NA,NA,NA,0.7
632,0.625,NA,NA,0.45,NA,NA,NA,0.5,NA
633,0.625,NA,NA,0.45,NA,NA,NA,NA,0.3
635,0.6875,NA,0.45,0.95,NA,NA,NA,NA,NA
637,0.8125,NA,NA,0.85,0.45,NA,NA,NA,NA
638,1,NA,NA,0.95,NA,0.6,NA,NA,NA
639,0.4375,NA,NA,0.6,NA,NA,NA,NA,0.5
643,0.625,0.4,NA,0.65,NA,NA,NA,NA,NA
650,0.625,NA,NA,0.65,0.55,NA,NA,NA,NA
653,0.5625,0.6,NA,0.85,NA,NA,NA,NA,NA
654,0.625,0.85,NA,0.55,NA,NA,NA,NA,NA
657,0.25,NA,NA,0.45,NA,0.6,NA,NA,NA
658,0.625,0.45,NA,0.45,NA,NA,NA,NA,NA
666,0.6875,NA,NA,0.65,NA,NA,NA,NA,0.6
667,0.6875,NA,0.7,0.8,NA,NA,NA,NA,NA
671,0.5625,NA,NA,0.5,NA,NA,0.5,NA,NA
674,0.6875,0.5,NA,0.45,NA,NA,NA,NA,NA
676,0.4375,NA,NA,0.5,NA,NA,NA,0.6,NA
682,0.6875,NA,NA,0.4,NA,NA,0.35,NA,NA
683,0.5625,NA,NA,0.45,NA,NA,NA,NA,0.55
687,0.5,NA,NA,0.5,0.4,NA,NA,NA,NA
689,0.9375,NA,NA,1,NA,1,NA,NA,NA
695,0.625,NA,NA,0.5,NA,NA,NA,NA,0.6
702,0.5,NA,NA,0.55,0.65,NA,NA,NA,NA
703,0.6875,NA,NA,0.5,NA,NA,NA,0.4,NA
715,0.5,NA,NA,0.6,0.55,NA,NA,NA,NA
717,0.9375,NA,1,1,NA,NA,NA,NA,NA
718,0.5,NA,NA,0.5,NA,NA,NA,0.45,NA
724,0.4375,NA,NA,0.7,0.6,NA,NA,NA,NA
725,0.9375,NA,NA,0.9,NA,NA,0.85,NA,NA
726,0.6875,NA,NA,0.6,NA,0.55,NA,NA,NA
729,0.625,NA,NA,0.35,NA,NA,0.45,NA,NA
730,0.25,NA,NA,0.65,0.8,NA,NA,NA,NA
732,1,NA,NA,1,NA,1,NA,NA,NA
734,0.8125,NA,0.95,0.95,NA,NA,NA,NA,NA
736,0.6875,NA,NA,0.5,0.5,NA,NA,NA,NA
743,0.375,NA,NA,0.55,0.5,NA,NA,NA,NA
745,0.875,NA,NA,0.75,NA,NA,NA,0.75,NA
750,0.8125,NA,NA,0.95,NA,0.7,NA,NA,NA
751,0.4375,NA,NA,0.65,NA,0.5,NA,NA,NA
756,0.6875,NA,NA,0.55,NA,NA,0.7,NA,NA
767,0.6875,NA,NA,0.9,NA,0.95,NA,NA,NA
768,0.5625,NA,NA,0.75,NA,NA,NA,0.4,NA
770,0.875,0.9,NA,0.5,NA,NA,NA,NA,NA
771,0.5625,NA,NA,0.4,NA,NA,NA,0.5,NA
780,0.6875,NA,NA,0.5,0.4,NA,NA,NA,NA
782,1,NA,NA,0.95,1,NA,NA,NA,NA
786,0.625,NA,NA,0.3,NA,NA,0.45,NA,NA
787,0.5,0.65,NA,0.6,NA,NA,NA,NA,NA
788,0.9375,NA,NA,0.9,NA,1,NA,NA,NA
790,0.875,NA,NA,0.85,NA,NA,1,NA,NA
795,0.5,0.25,NA,0.35,NA,NA,NA,NA,NA
799,0.4375,NA,NA,0.5,NA,NA,NA,NA,0.45
801,0.9375,0.9,NA,0.95,NA,NA,NA,NA,NA
802,0.75,NA,NA,0.55,0.6,NA,NA,NA,NA
804,0.5625,NA,NA,0.65,NA,NA,NA,NA,0.7
808,0.4375,NA,NA,0.7,NA,NA,NA,0.3,NA
810,0.5625,NA,NA,0.75,NA,0.7,NA,NA,NA
815,0.6875,NA,NA,0.55,NA,NA,NA,0.35,NA
816,0.625,0.4,NA,0.3,NA,NA,NA,NA,NA
819,0.5625,NA,NA,0.4,NA,0.6,NA,NA,NA
820,0.4375,NA,NA,0.45,NA,NA,NA,NA,0.55
821,0.5,NA,NA,0.6,NA,NA,NA,0.55,NA
822,0.375,NA,NA,0.9,NA,0.95,NA,NA,NA
830,0.3125,NA,NA,0.75,0.65,NA,NA,NA,NA
834,0.9375,NA,NA,0.95,0.8,NA,NA,NA,NA
835,0.375,NA,NA,0.65,NA,NA,NA,0.4,NA
838,0.6875,NA,NA,0.6,NA,NA,NA,0.6,NA
844,0.5,NA,NA,0.5,NA,0.7,NA,NA,NA
845,0.625,NA,NA,0.65,NA,NA,0.5,NA,NA
846,0.75,0.4,NA,0.45,NA,NA,NA,NA,NA
847,0.5,NA,0.25,0.6,NA,NA,NA,NA,NA
850,0.3125,NA,NA,0.45,NA,NA,0.5,NA,NA
852,0.6875,NA,NA,0.9,NA,NA,NA,NA,0.7
857,0.4375,0.4,NA,0.7,NA,NA,NA,NA,NA
859,0.5625,NA,NA,0.4,NA,NA,NA,0.65,NA
867,1,0.9,NA,0.85,NA,NA,NA,NA,NA
869,0.625,NA,NA,0.4,NA,NA,NA,NA,0.6
879,0.9375,NA,1,1,NA,NA,NA,NA,NA
880,0.6875,0.8,NA,0.5,NA,NA,NA,NA,NA
881,0.375,NA,NA,0.4,0.45,NA,NA,NA,NA
886,0.4375,0.45,NA,0.5,NA,NA,NA,NA,NA
890,0.3125,NA,NA,0.35,NA,NA,NA,0.55,NA
891,0.4375,0.55,NA,0.5,NA,NA,NA,NA,NA
892,0.5,NA,NA,0.45,0.75,NA,NA,NA,NA
901,0.6875,0.65,NA,0.75,NA,NA,NA,NA,NA
904,0.9375,NA,NA,1,0.85,NA,NA,NA,NA
905,0.625,NA,NA,0.75,0.4,NA,NA,NA,NA
906,0.75,0.5,NA,0.75,NA,NA,NA,NA,NA
910,0.75,NA,NA,0.45,NA,NA,NA,0.55,NA
911,0.875,NA,NA,0.6,NA,0.9,NA,NA,NA
914,0.1875,NA,NA,0.5,NA,NA,0.6,NA,NA
917,0.6875,NA,NA,0.6,NA,NA,NA,NA,0.55
922,0.25,0.9,NA,0.75,NA,NA,NA,NA,NA
929,0.8125,NA,NA,0.6,NA,0.55,NA,NA,NA
930,0.5625,NA,NA,0.55,0.45,NA,NA,NA,NA
934,0.625,NA,0.6,0.6,NA,NA,NA,NA,NA
936,0.875,NA,NA,1,NA,NA,0.9,NA,NA
937,0.5625,0.55,NA,0.75,NA,NA,NA,NA,NA
941,0.75,NA,NA,0.6,NA,0.6,NA,NA,NA
944,0.8125,NA,NA,0.5,NA,0.55,NA,NA,NA
945,0.375,NA,0.25,0.7,NA,NA,NA,NA,NA
947,0.75,NA,0.7,0.9,NA,NA,NA,NA,NA
958,0.5625,NA,0.65,0.65,NA,NA,NA,NA,NA
973,0.6875,NA,0.55,0.6,NA,NA,NA,NA,NA
975,0.3125,NA,NA,0.65,NA,NA,NA,NA,0.6
976,0.4375,NA,NA,0.6,NA,NA,0.4,NA,NA
982,0.625,NA,NA,0.45,NA,0.75,NA,NA,NA
986,0.375,NA,NA,0.5,NA,NA,0.6,NA,NA
993,0.9375,NA,NA,1,0.95,NA,NA,NA,NA
994,0.625,NA,NA,0.6,NA,NA,NA,0.25,NA
997,0.75,0.75,NA,0.75,NA,NA,NA,NA,NA
1003,0.625,NA,NA,0.5,NA,NA,0.8,NA,NA
1010,0.5625,NA,NA,0.45,0.6,NA,NA,NA,NA
1012,0.8125,1,NA,1,NA,NA,NA,NA,NA
1013,0.6875,0.6,NA,0.45,NA,NA,NA,NA,NA
1015,0.4375,0.55,NA,0.4,NA,NA,NA,NA,NA
1018,0.3125,NA,NA,0.35,NA,NA,NA,NA,0.75
1021,0.5625,NA,NA,0.7,NA,NA,NA,NA,0.45
1022,0.75,NA,NA,0.95,NA,NA,1,NA,NA
1032,0.375,NA,NA,0.6,NA,NA,NA,NA,0.55
1033,0.4375,NA,0.75,0.55,NA,NA,NA,NA,NA
1034,0.625,NA,NA,1,NA,0.75,NA,NA,NA
1038,0.375,NA,NA,0.75,NA,NA,NA,0.35,NA
1045,0.75,NA,NA,0.55,0.85,NA,NA,NA,NA
1047,0.75,NA,NA,0.7,NA,NA,0.95,NA,NA
1053,0.75,NA,NA,1,NA,1,NA,NA,NA
1054,0.625,NA,0.7,0.45,NA,NA,NA,NA,NA
1058,0.5625,NA,NA,0.4,0.6,NA,NA,NA,NA
1062,0.6875,NA,NA,0.5,NA,NA,NA,0.45,NA
1065,0.4375,NA,NA,0.65,0.7,NA,NA,NA,NA
1068,0.75,NA,NA,0.9,NA,NA,NA,0.95,NA
1070,0.625,NA,NA,0.8,NA,NA,NA,NA,0.55
1081,0.9375,NA,NA,0.95,NA,0.65,NA,NA,NA
1084,0.875,0.95,NA,1,NA,NA,NA,NA,NA
1092,0.6875,NA,NA,0.75,0.65,NA,NA,NA,NA
1097,0.5,0.6,NA,0.6,NA,NA,NA,NA,NA
1103,0.375,NA,NA,0.7,NA,NA,0.55,NA,NA
1104,0.5,NA,NA,0.7,NA,NA,NA,NA,0.5
1106,0.5,NA,NA,0.5,NA,NA,NA,NA,0.35
1107,0.75,NA,NA,0.5,NA,NA,NA,0.5,NA
1112,0.8125,NA,NA,0.75,0.9,NA,NA,NA,NA
1113,0.5625,NA,NA,0.7,NA,0.85,NA,NA,NA
1120,0.5625,NA,NA,0.9,NA,NA,NA,0.45,NA
1122,0.6875,NA,NA,0.6,NA,NA,NA,0.55,NA
1125,0.5,NA,NA,0.6,NA,NA,0.5,NA,NA
1130,0.625,NA,NA,0.35,NA,NA,NA,0.7,NA
1132,0.9375,NA,NA,0.95,0.35,NA,NA,NA,NA
1135,0.5625,NA,NA,0.85,0.85,NA,NA,NA,NA
1137,0.625,NA,NA,0.5,NA,NA,NA,NA,0.35
1138,0.875,NA,NA,0.95,NA,NA,NA,NA,0.8
1140,0.875,NA,NA,0.8,NA,NA,0.95,NA,NA
1143,0.3125,0.7,NA,0.55,NA,NA,NA,NA,NA
1153,0.8125,NA,NA,0.7,NA,NA,NA,0.25,NA
1154,0.875,NA,0.75,1,NA,NA,NA,NA,NA
1158,0.5625,NA,NA,0.55,NA,NA,0.75,NA,NA
1161,0.375,NA,NA,0.6,0.7,NA,NA,NA,NA
1167,0.6875,NA,NA,0.5,NA,0.55,NA,NA,NA
1168,0.5625,NA,NA,0.4,NA,NA,0.55,NA,NA
1171,0.5625,NA,NA,0.5,0.6,NA,NA,NA,NA
1173,0.625,NA,NA,0.55,NA,NA,NA,NA,0.75
1174,0.375,0.5,NA,0.35,NA,NA,NA,NA,NA
1176,0.8125,NA,NA,0.9,0.9,NA,NA,NA,NA
1177,0.5,NA,NA,0.55,NA,NA,0.7,NA,NA
1179,0.375,NA,NA,0.55,NA,NA,0.45,NA,NA
1182,0.4375,0.3,NA,0.45,NA,NA,NA,NA,NA
