user_id,nativeLang,task3v4
100843,English,0.55
100853,English,0.75
100855,English,0.9
100857,Portuguese,0.5
100859,English,0.55
100863,English,0.9
100867,English,0.5
100877,English,0.7
100886,English,0.6
100890,English,0.55
100891,German,0.65
100895,English,0.8
100897,English,0.95
100903,English,1
100910,English,0.6
100915,French,0.5
100916,English,1
100918,English,0.85
100919,English,0.75
10092,English,0.75
100928,English,0.4
100934,English,0.55
100935,Russian,0.55
100936,English,1
100937,English,0.4
100940,English,0.35
100947,English,0.35
100954,English,0.45
100960,English,1
100961,Korean,0.45
100966,German,0.7
100967,English,0.55
100977,Dutch,1
100978,English,0.5
100980,English,0.7
100991,English,0.7
100994,English,0.4
101,English,0.7
1010,Italian,0.45
101000,Spanish,0.45
10101,English,0.65
101016,English,0.65
101030,English,0.45
101031,English,0.65
101033,English,1
101039,English,0.6
101040,Indonesian,0.45
101041,English,0.9
101043,English,0.65
101049,English,0.55
101054,English,0.95
10106,English,0.7
101060,Spanish,0.45
101062,English,0.45
101073,English,0.6
101074,English,0.6
101080,English,0.4
101083,English,0.4
101086,Swiss German,0.5
101088,English,1
101097,German,0.95
101100,English,0.75
101102,Tamil,0.55
101106,English,0.8
101110,Polish,0.65
101112,English,0.45
101115,English,0.45
101118,English,0.65
101119,English,0.6
101121,Basque,0.6
101124,English,0.9
101129,English,0.7
101133,English,0.4
10114,English,0.55
101142,English,0.5
101146,Italian,0.5
101148,Norwegian,0.75
101151,English,0.55
101155,English,1
101156,English,0.6
10116,Russian,0.65
101167,Russian,0.4
101168,English,0.7
101177,English,0.6
101178,English,0.7
101185,German,0.55
101187,German,0.5
10119,Vietnamese,0.6
101191,Turkish,0.7
101192,Danish,1
101195,English,0.65
101197,English,0.35
1012,English,1
10120,English,0.35
101203,Italian,0.6
101204,Dutch,0.55
101205,Tagalog,0.6
101206,English,1
101209,English,0.45
10121,Portuguese,0.65
101210,English,0.8
101217,English,0.65
101222,English,0.9
101240,English,0.75
101249,Spanish,0.55
101251,English,0.6
101254,English,1
10126,German,0.5
101263,English,0.4
10127,English,0.7
101271,English,0.7
101278,English,0.4
101281,English,0.65
101282,Basque,0.35
101289,English,0.55
101293,Turkish,0.45
101298,English,0.65
1013,English,0.45
10130,Portuguese,0.7
101304,English,0.65
101310,English,0.9
101316,English,1
10132,English,0.5
101320,English,0.6
101322,English,0.95
101324,Vietnamese,0.5
101338,English,0.55
101341,English,0.6
101344,English,0.45
101345,English,0.5
10135,English,0.5
101354,English,0.65
101357,English,0.7
101358,English,1
10136,English,0.45
101360,Spanish,0.5
101362,English,0.9
10137,English,0.85
101370,English,0.6
101384,English,0.6
10139,English,0.7
101391,English,0.95
101392,Arabic,0.55
101397,Bengali,0.5
101400,English,1
101401,English,0.45
101406,English,0.7
101411,English,0.65
101415,Albanian,0.55
101417,Swedish,0.45
101419,English,0.9
101424,English,0.95
10143,English,0.75
101432,English,0.6
101434,German,0.6
101435,English,0.6
101438,Dutch,0.6
10144,English,0.6
101440,English,0.5
101447,German,0.6
101449,English,0.3
101450,English,0.6
101453,English,0.6
101455,English,0.95
101458,English,0.4
101463,French,0.6
101466,English,1
101472,English,0.3
101482,English,0.7
101483,English,1
101489,Vietnamese,0.3
101497,English,0.6
101498,English,0.4
101499,German,0.55
1015,Hiligaynon,0.4
101512,English,0.35
101519,English,0.7
10152,English,0.5
101523,English,0.75
101527,English,1
10153,English,0.5
101531,English,0.6
101539,Apache,0.35
10154,English,0.9
101545,English,0.6
101552,English,0.55
101553,English,0.6
101554,English,0.75
101555,English,0.35
101561,English,0.4
101565,English,0.5
101566,English,0.75
101574,Latvian,0.6
101575,Swedish,0.4
101578,English,0.65
10158,English,0.55
101583,English,0.25
101585,English,0.5
10159,English,0.4
101595,English,0.4
10160,English,0.4
101601,English,0.4
101611,English,0.3
101615,English,0.25
101622,English,0.7
101625,English,0.9
101626,Portuguese,0.6
101629,German,0.5
101633,English,0.7
101634,English,0.4
101645,English,0.95
101646,English,0.55
101650,French,0.9
101651,English,0.9
101656,English,0.55
10166,Russian,0.45
101669,English,0.8
101670,Norwegian,0.55
101671,English,0.55
101674,English,0.4
10168,English,0.95
101680,English,0.3
101690,English,0.9
101691,Spanish,0.3
101694,Georgian,0.35
101697,Dutch,0.45
101702,English,0.7
101704,English,0.8
101714,Abkhaz,0.4
101722,Italian,0.75
101728,Malay,0.55
101731,English,0.95
101738,English,0.45
101739,English,0.7
101746,Dutch,0.75
101749,English,1
101750,English,0.5
101752,English,0.8
101755,English,0.75
101757,English,0.2
101758,English,0.4
101759,English,0.6
101760,English,0.55
10177,English,0.65
101770,English,1
101785,Estonian,0.45
101788,English,0.4
1018,English,0.35
101804,English,1
101805,English,0.35
101808,German,0.75
101809,English,0.45
101810,English,0.6
101813,English,0.45
101817,English,1
10182,Romanian,0.5
101822,English,0.55
101830,Italian,0.45
101834,English,0.65
101844,English,0.7
101853,English,0.6
101855,English,1
101857,English,0.4
10186,English,0.65
101866,German,0.8
101879,English,0.9
10188,English,0.6
101884,English,0.95
101887,English,0.5
101892,English,0.6
101893,English,0.45
101907,English,0.45
101909,English,0.5
101920,English,0.9
101922,Hindi,0.55
101923,English,0.45
101928,English,0.95
101930,English,1
101931,English,0.9
101934,English,0.65
101940,Portuguese,0.45
101944,Malayalam,0.55
101945,English,0.6
101946,Turkish,0.55
101947,Swedish,0.4
101952,English,0.7
101955,English,0.6
101961,English,0.5
101968,English,0.75
101971,English,0.7
101972,English,0.4
101975,German,0.8
101978,English,1
101982,Italian,0.65
101983,English,0.6
101985,English,0.65
101988,English,0.8
101990,English,0.6
101993,English,0.9
102,English,0.45
10200,English,0.6
102000,Spanish,0.4
102005,English,0.65
102006,Norwegian,0.65
102009,English,0.65
10201,Arabic,0.65
102018,English,0.45
102030,English,0.6
102035,English,0.6
102041,English,0.9
102045,English,0.75
10205,Russian,0.45
102054,English,0.7
102058,German,0.75
102061,Arabic,0.55
102069,German,0.6
10207,English,0.45
102076,English,0.65
102077,English,0.7
102079,English,0.95
102084,Italian,1
10209,English,0.65
102091,English,1
1021,English,0.7
102101,English,0.55
102115,English,0.3
10212,English,0.4
102121,English,0.85
102143,English,0.4
102159,English,0.75
10216,English,0.8
102167,Portuguese,0.6
102168,English,0.5
102171,English,0.95
102174,Dutch,0.2
102175,English,0.95
102177,English,0.45
102178,French,0.55
10218,Romanian,0.4
102183,English,0.65
102184,English,0.5
102199,Slovak,0.3
1022,English,0.95
102202,English,1
102213,English,0.7
102215,Chinese/Mandarin,0.85
102221,English,0.6
102223,English,0.35
102224,English,0.75
102227,English,0.5
102228,English,0.85
102230,English,0.55
102232,English,0.55
102234,English,0.4
102238,English,0.8
102241,English,0.55
102242,English,0.5
102244,Finnish,0.85
10225,Portuguese,0.6
102250,English,0.5
102253,Estonian,0.35
102258,English,0.75
10226,English,0.5
102260,English,0.9
102261,English,0.85
102262,English,0.55
102267,French,0.6
10227,English,0.45
102270,English,0.4
102272,Italian,0.3
102279,English,1
102290,English,0.35
102295,English,0.95
102296,English,0.35
102297,Hindi,0.45
102298,English,0.5
102299,English,0.6
10230,German,0.7
102304,English,0.95
102307,English,0.45
102308,English,0.95
102315,English,0.5
102321,English,0.5
10233,English,0.25
102335,English,0.45
102338,Latvian,0.9
102344,German,0.3
102350,Czech,1
102354,English,0.55
102356,Romanian,0.6
102362,English,0.55
102363,Slovak,0.45
102364,English,0.35
102365,Finnish,0.95
102374,Finnish,0.7
10238,English,0.45
102383,English,0.5
102384,English,0.55
102389,English,0.8
102394,Bengali,0.55
102395,English,0.6
102400,English,0.65
102404,English,0.8
102406,German,0.45
102407,English,0.5
102408,English,1
102412,German,0.95
102415,English,1
102418,English,0.55
10242,English,0.6
102420,Spanish,0.4
102429,English,0.75
102437,English,0.65
102439,English,0.3
102445,Swedish,0.95
102448,English,0.6
102450,English,0.95
102463,Spanish,0.15
102464,German,0.55
102466,English,0.25
10247,English,0.9
102471,English,0.7
102474,Swedish,0.8
102476,English,0.55
102478,English,0.8
10248,English,1
102480,Swedish,0.45
102487,English,1
10249,English,0.75
102496,Chinese/Cantonese/Yue,0.85
102498,English,0.4
10250,English,1
102502,English,1
102508,Hebrew,0.85
102513,English,0.95
102517,English,0.45
102519,English,0.55
102531,Ainu,1
102532,Dutch,0.8
102543,English,1
102545,English,0.6
102548,Portuguese,0.35
102554,English,0.4
102557,Faroese,0.55
102563,English,0.45
102564,Chinese/Mandarin,0.85
102565,English,0.65
102566,English,1
102575,Spanish,0.75
102580,English,0.6
102582,Croatian,0.55
102588,English,0.7
10259,English,0.3
102602,English,0.85
102603,English,1
102604,English,0.6
102609,English,1
102610,Chinese/Cantonese/Yue,0.55
102620,English,0.95
102629,English,1
102630,German,0.6
102633,English,1
102634,English,0.45
102636,English,0.9
102645,English,0.5
102653,English,0.55
102662,German,1
102663,English,0.65
102664,English,0.9
102670,English,0.65
102671,Spanish,0.75
102672,English,0.9
102675,English,0.55
102678,English,1
102698,Portuguese,1
102699,English,0.55
10270,English,0.55
102702,English,0.75
102707,English,0.55
10271,Swedish,0.5
102712,English,0.8
102719,English,0.55
102722,English,0.8
102726,English,0.65
102727,English,0.9
102734,Finnish,0.4
102735,English,0.35
102736,English,0.8
102737,English,0.6
102738,English,0.5
102739,English,0.85
10274,English,0.75
102745,Korean,0.4
102751,German,0.35
102753,Chinese/Wu/Shanghainese,0.5
102767,Finnish,0.55
102768,English,0.95
102775,English,0.6
102779,English,0.85
102780,English,0.45
102786,Spanish,0.45
102788,English,0.65
102789,English,0.5
10279,English,0.55
102792,Spanish,0.95
102794,English,0.5
102797,English,0.55
102801,Italian,0.65
102809,Swedish,0.6
102810,English,0.9
102813,German,0.6
102822,English,0.55
102827,Portuguese,0.55
102833,English,0.35
102844,English,0.95
102848,English,0.95
10285,English,0.85
102852,English,0.65
102854,English,0.55
102855,German,0.6
102860,English,0.75
102863,English,0.8
102871,English,0.35
102873,English,0.35
102876,Chinese/Cantonese/Yue,0.95
102880,Spanish,0.7
102904,English,0.5
102912,English,0.4
102913,Telugu,0.75
102920,Dutch,0.6
102922,Romanian,0.45
102939,English,0.5
102940,Urdu,0.5
102948,Czech,0.5
102962,English,1
102966,English,0.45
102967,German,0.6
10297,English,0.85
102974,English,0.5
102975,English,0.5
102980,English,0.45
102981,Spanish,0.55
102990,English,1
102992,English,0.6
103,Chinese/Mandarin,0.65
103014,English,0.75
103018,Hindi,0.45
103019,English,1
10302,English,0.95
103023,English,0.9
103031,English,0.6
103042,English,0.6
103043,English,1
103046,English,0.55
103050,English,0.35
103054,German,0.4
103066,English,1
10307,English,0.4
103075,English,0.55
103077,French,0.45
103080,English,0.75
10309,English,0.5
103094,English,0.7
103095,Swedish,0.7
103096,English,0.3
103100,Slovak,0.45
10311,Dutch,0.55
103110,English,1
10312,English,0.6
10313,English,0.65
103131,English,0.5
103135,Portuguese,0.7
10314,English,0.6
103142,English,0.6
103143,English,0.95
103145,Korean,0.85
103146,English,0.5
103147,English,0.9
103153,English,0.85
10316,English,0.45
103166,English,1
103169,English,0.4
103176,English,0.7
103182,English,0.75
103185,Portuguese,0.95
103188,English,0.75
103193,Portuguese,0.35
103197,English,0.45
103199,Russian,0.4
1032,English,0.6
103202,Tagalog,0.7
103204,English,0.5
103205,Swedish,0.55
10321,English,0.9
10322,English,0.8
103225,English,1
103226,English,0.6
103227,English,0.6
103228,English,0.4
103229,English,0.6
103233,English,0.65
103234,English,0.8
103240,English,0.7
103251,English,0.55
103256,English,0.65
103257,English,0.75
103269,English,0.6
103273,English,0.4
103275,English,0.55
10328,English,0.3
103284,English,0.8
103285,English,0.95
103288,English,1
103289,English,0.55
103294,English,0.45
103295,English,1
103299,Portuguese,0.4
1033,English,0.55
10330,English,0.7
103304,Russian,0.4
103307,English,0.5
103310,Zulu,0.55
103312,English,0.5
103316,Telugu,0.3
103317,English,0.55
103326,English,0.7
103329,English,1
10333,English,0.5
103330,English,0.85
103335,Russian,0.35
10334,German,0.55
103341,English,0.7
103342,English,0.85
103360,English,0.45
103363,English,0.5
103366,French,0.65
103368,English,0.35
10337,English,0.45
103373,German,0.75
103374,English,0.65
103377,English,0.8
103379,French,0.55
103384,English,1
103388,Russian,0.65
103389,English,0.8
10339,Swedish,0.55
103390,Portuguese,0.55
103394,English,0.45
103395,English,0.45
1034,English,1
103407,English,1
103428,Cebuano,0.8
103430,English,0.75
103431,English,1
103433,Greek,0.55
103437,English,0.65
103440,English,0.75
103442,English,0.65
103454,English,0.95
103456,Tagalog,0.4
103468,English,0.6
103473,English,0.55
103475,German,0.95
103477,English,0.65
103487,English,0.65
103488,English,0.45
103489,English,0.7
103495,English,0.45
103507,Swedish,0.75
103509,English,0.9
103514,English,0.45
103517,Portuguese,0.8
10352,English,0.7
103520,English,0.55
103522,French,0.65
103524,English,0.5
103527,English,0.85
10353,English,0.6
103530,English,0.55
10354,English,0.55
103540,Dutch,0.45
103543,English,0.4
103548,Swedish,0.45
103556,Russian,0.35
103567,English,0.6
103569,English,1
103579,English,0.9
10358,English,0.9
103584,English,0.4
10359,English,0.65
103591,English,0.45
103593,German,0.65
103601,English,0.75
10361,Portuguese,0.5
103611,Spanish,0.6
103617,English,0.45
10362,Spanish,0.75
103620,English,0.7
103627,English,0.6
103628,English,0.5
103629,English,0.65
103644,Estonian,0.5
103668,Russian,0.4
103671,English,0.85
103673,English,0.65
10368,English,0.7
103680,French,0.65
103685,Portuguese,0.6
10369,Swedish,0.55
103690,English,0.55
103691,English,0.9
103695,English,1
103698,English,0.85
10370,Korean,0.45
103724,English,0.7
103725,Spanish,0.5
103726,English,0.55
103729,Ukrainian,0.55
103730,English,1
103737,Slovene,0.4
103739,English,0.9
103742,English,1
103743,English,0.85
103745,English,0.65
103748,English,0.35
103753,English,1
103754,English,0.7
103755,English,0.55
103767,English,0.55
103768,English,0.35
103781,English,0.55
1038,Korean,0.75
103803,English,0.95
103806,English,0.9
103816,English,0.7
103818,Spanish,0.4
103819,English,0.6
103823,English,1
103827,Swedish,0.6
103836,English,0.9
103837,English,0.4
103838,Spanish,0.55
10384,English,0.7
103850,English,1
103852,English,0.6
103857,Swedish,0.5
103858,Turkish,0.5
103861,English,0.5
103862,Spanish,1
103863,English,1
103873,English,0.7
103878,English,0.6
103882,Polish,0.4
103885,Portuguese,0.45
103886,Portuguese,0.5
103891,Portuguese,0.45
103902,English,0.8
103909,English,0.9
103911,Portuguese,1
103913,English,1
103915,English,0.85
103919,English,0.4
103923,English,0.95
103924,English,0.45
103929,English,0.7
10393,English,0.6
103937,French,0.75
103941,Russian,0.6
103961,English,0.45
103962,English,1
103968,English,1
103982,Russian,0.75
103989,English,0.55
10400,Bulgarian,0.5
104002,German,0.8
104005,English,0.65
104008,English,0.7
10401,French,0.4
104015,Polish,0.45
10402,English,0.95
104020,English,0.4
104028,English,0.55
104033,English,0.35
104037,English,0.65
104039,English,0.6
10404,English,0.6
104045,Spanish,0.45
10405,Spanish,0.6
104051,English,0.55
104052,Norwegian,0.4
104053,French,0.4
104068,Spanish,0.55
104069,Portuguese,0.45
10407,English,1
104073,English,0.6
104077,English,0.7
104078,English,0.35
104088,English,0.45
104091,English,0.95
104093,English,0.55
104096,English,0.55
104106,English,0.85
104118,English,0.65
104124,English,0.95
104127,English,0.6
104128,Danish,0.9
104129,English,0.9
10413,Romanian,0.55
104131,English,0.85
104140,English,0.55
104142,English,0.65
104144,English,0.8
104150,Italian,0.5
104154,French,0.65
104161,English,0.65
104166,Norwegian,0.65
104172,English,0.3
104175,English,0.75
104177,English,0.45
104182,English,1
104183,English,0.5
104185,English,0.6
104194,English,0.6
104195,English,0.85
104217,French,1
104219,English,0.8
10422,English,0.55
104220,Spanish,0.45
104221,English,0.85
104227,English,0.9
104233,English,0.6
104239,English,0.85
104249,English,0.6
104253,English,0.55
104254,English,1
104255,English,0.95
10426,English,0.45
104263,English,0.75
104267,English,0.9
104272,English,0.4
104276,English,1
104279,English,0.55
104284,Spanish,0.8
10429,English,0.45
104298,Dutch,0.6
104300,English,1
104301,English,1
104304,English,0.4
104305,English,0.5
104306,English,0.65
104307,English,0.9
104312,Japanese,0.65
104315,English,0.9
10432,English,0.65
104320,English,0.55
104322,English,0.6
104324,English,0.7
104326,English,0.65
104329,Spanish,1
104347,English,0.9
104352,Spanish,0.85
104354,Spanish,0.3
10436,English,0.7
10437,English,0.95
104373,English,0.5
104379,English,0.9
10438,English,0.4
104389,English,0.7
104390,English,0.95
104392,English,0.45
104394,English,0.75
104395,English,0.6
10440,English,0.4
104403,English,0.55
104404,English,0.65
104406,English,0.6
104408,English,0.7
10441,English,0.5
104411,Spanish,0.5
104412,English,0.9
104414,English,0.55
104419,Spanish,0.65
10442,English,0.45
104428,English,0.45
104434,English,0.6
104435,English,0.65
104440,Arabic,0.5
104443,English,1
104444,English,0.3
104446,English,0.35
104453,English,0.4
104455,English,0.95
104457,Turkish,0.55
104459,Spanish,1
10446,English,0.6
104464,Spanish,0.6
104469,English,0.45
104472,English,0.45
104474,English,0.65
104478,Hungarian,0.75
104481,Portuguese,0.35
104483,English,0.65
104486,English,0.65
104488,English,0.65
104497,Spanish,0.55
1045,English,0.55
104501,Portuguese,0.55
10451,Slovak,0.45
104518,English,1
10452,French,0.65
104520,English,0.65
10453,English,0.85
104534,English,0.65
104544,English,0.6
104548,English,0.7
104550,English,0.5
104562,English,0.55
10457,Italian,0.45
104575,French,0.75
10458,Hindi,0.55
104580,English,0.65
104581,English,0.45
104582,English,1
104584,English,0.5
104593,Tagalog,0.6
104596,English,0.65
104608,English,0.65
104621,English,0.35
104629,Finnish,0.6
104630,English,0.5
104633,English,0.9
104639,Portuguese,0.95
104646,English,0.85
104652,Spanish,0.5
104658,English,1
104660,English,0.95
104664,English,0.5
104666,English,0.8
104669,English,1
104675,English,0.4
104676,English,0.6
104680,English,0.6
104682,English,0.7
104689,Dutch,0.6
104691,English,0.55
104695,English,0.4
1047,English,0.7
104703,English,0.45
104704,English,0.45
104709,Dutch,0.85
104713,Spanish,0.6
104714,English,0.5
104721,English,0.9
104722,Spanish,1
104724,English,0.65
104726,English,1
104727,English,0.75
104736,Portuguese,0.9
104743,Norwegian,0.75
104744,English,0.65
104748,English,0.6
104750,English,0.6
104752,English,1
104755,English,0.35
104763,English,0.5
10477,English,0.55
104771,English,0.65
104776,English,0.45
104780,English,0.45
104785,English,0.7
104787,English,1
104788,English,1
10479,English,0.9
104793,English,0.95
104795,English,0.85
104797,English,1
10480,English,0.7
104809,Dutch,0.55
104814,English,0.55
104820,English,0.7
104823,English,0.55
104826,French,0.35
104829,Korean,0.95
104831,English,0.65
104834,Tamil,0.5
104839,English,0.75
10487,English,0.5
10488,English,0.7
104884,English,0.5
104894,English,0.45
104897,English,0.4
104910,Arabic,0.55
104911,English,0.5
104912,English,0.5
104913,English,0.4
104919,French,0.65
104925,Korean,0.5
104928,English,0.75
104929,English,1
104933,English,1
104942,English,0.55
104946,English,0.55
10495,English,0.7
104952,Spanish,0.5
104954,English,1
104955,Afrikaans,0.9
104959,Polish,1
10496,English,0.85
104960,English,1
104962,English,0.5
104967,English,0.6
104969,Portuguese,1
10497,English,0.65
104974,English,0.9
104975,English,0.55
104977,English,0.55
104978,English,0.4
104983,English,0.45
104986,English,0.55
104999,English,0.9
105010,English,0.7
105019,English,0.95
105020,Turkish,0.55
105037,English,0.65
10504,English,0.75
105046,English,0.5
105049,English,0.45
105050,English,0.45
105062,English,1
105071,English,0.7
105074,English,0.45
105077,Gujarati,0.5
105079,English,0.5
105081,English,0.55
105091,English,0.5
105093,English,0.6
105098,English,0.4
105106,Cebuano,0.7
105112,English,0.5
10512,French,0.6
105125,English,0.35
105130,Portuguese,0.3
105131,English,0.45
105132,Uyghur,0.35
105133,Portuguese,0.45
105137,Portuguese,0.45
105138,English,0.45
10516,English,0.75
105162,French,0.55
10517,German,0.5
105175,English,1
105178,English,0.5
10518,English,0.85
105183,English,0.7
105187,English,0.45
105196,English,1
105207,English,0.6
105210,Portuguese,0.4
105211,English,0.6
105212,English,0.5
105220,English,0.4
105224,Swedish,0.65
105229,English,0.65
105235,English,0.8
105239,English,0.6
105240,English,0.6
105242,English,0.4
105244,English,0.55
105252,Portuguese,0.75
105254,English,1
105259,English,0.55
105262,English,0.45
105264,English,0.95
105268,Norwegian,1
105269,English,0.4
105270,English,0.45
105275,English,0.95
105279,English,0.9
105283,English,0.65
105287,German,0.4
105288,Portuguese,0.7
105289,Hungarian,0.45
105295,English,1
1053,English,1
105302,French,0.6
10531,English,0.65
105314,Norwegian,0.65
105316,English,0.65
105317,Chinese/Mandarin,0.35
10532,English,0.3
105320,English,1
105321,English,0.4
105322,English,0.5
105325,English,0.65
105337,English,0.3
105349,English,0.85
105352,English,0.6
105361,English,0.5
105363,English,0.3
105366,English,0.6
105367,Swedish,0.9
105369,English,0.85
105371,Portuguese,0.65
105375,English,0.35
105386,English,0.75
105392,English,0.7
105396,English,0.55
1054,Chinese/Mandarin,0.45
105403,English,0.5
105410,English,0.95
105411,English,0.45
105414,English,0.5
105418,English,0.7
10542,Georgian,0.4
105425,English,0.6
105427,English,0.45
105445,English,0.7
105447,English,1
105452,English,0.8
105456,English,0.95
105459,English,0.35
105465,English,0.95
105468,English,0.65
105469,Chinese/Mandarin,0.6
105472,English,0.95
105477,English,0.9
105479,English,0.5
10548,English,0.6
105480,Finnish,0.75
105482,English,0.4
105485,English,0.75
105487,English,0.4
10549,English,0.85
105492,English,0.5
105503,English,0.65
105518,English,0.55
10552,Telugu,0.55
105522,English,0.3
105523,English,0.65
105525,English,0.85
105530,English,0.45
105532,English,1
105542,English,0.35
105546,English,0.75
105549,English,0.55
105556,English,1
105567,Bengali,0.35
105568,English,0.6
105569,English,0.45
105574,Italian,0.3
105575,English,1
105580,English,0.9
105581,English,0.6
105585,English,1
105587,Dutch,0.75
10560,Gaulish,0.6
105601,English,0.6
105604,English,0.6
105606,English,0.8
10561,English,0.8
105610,English,0.65
105615,English,0.35
10562,English,0.55
105621,English,0.85
105623,English,0.55
10563,English,0.55
105633,English,0.95
105636,English,0.3
105639,English,0.85
105641,English,0.75
105642,Norwegian,0.8
105644,English,0.85
105646,English,0.9
105647,English,0.35
105652,English,0.4
105659,English,0.75
105660,English,0.4
105665,Dutch,0.55
105668,English,0.6
105672,Chinese/Mandarin,0.5
105678,English,1
105680,English,0.65
105683,English,0.6
105691,Italian,1
105692,French,0.6
105698,English,0.45
105703,English,0.6
105708,English,0.35
105709,English,1
105716,English,0.95
105722,English,0.95
105731,English,0.55
105735,English,0.6
105738,English,0.5
105739,English,0.75
105740,English,0.7
105747,English,0.6
105750,English,0.4
105751,English,0.75
10576,English,0.85
105762,English,0.5
105763,English,0.4
105774,English,0.9
105775,English,0.95
105776,English,0.6
10578,English,0.7
105782,Romanian,0.45
105785,English,1
105786,English,0.4
105788,French,0.55
1058,English,0.4
10580,English,0.55
105808,English,0.6
105812,English,0.55
105816,English,0.9
105819,English,1
105823,Spanish,0.95
105828,English,0.45
105834,English,0.8
105838,English,0.55
105839,English,0.5
10584,English,0.6
105842,English,0.6
105845,English,0.45
105856,Slovak,0.6
105863,English,0.45
105868,English,0.55
105879,English,0.95
105889,English,0.5
105890,English,0.8
105899,English,0.65
10590,English,0.6
105902,English,0.8
105906,English,0.95
105907,English,0.75
105908,English,0.35
105918,English,0.55
105920,English,1
105929,English,0.4
10593,Italian,0.7
105933,English,0.6
105934,German,0.9
105936,Romanian,1
105939,English,0.65
105940,English,0.65
105943,German,0.75
105950,English,0.75
105955,English,0.3
105957,English,0.6
10597,Chinese/Cantonese/Yue,0.65
105971,English,0.75
105973,Spanish,0.3
105975,English,0.85
105977,English,0.45
105988,English,0.75
105992,English,0.9
105997,English,0.6
10600,English,0.8
106000,Portuguese,1
106011,English,0.5
106025,English,0.55
106027,English,1
106038,English,1
10604,Portuguese,0.45
10605,English,0.45
106053,English,0.65
106055,English,0.55
106060,English,0.55
106066,English,0.65
106068,Serbian,0.65
106074,Tamil,0.65
106076,English,0.4
106080,English,0.4
